feature,permutation_rmse_increase,permutation_sd
dow,984.7292427009213,299.89190092169986
sin_doy,624.5387148981617,435.01048142346633
cos_doy,-2.852175384759903e-11,4.7015073956709046e-11
forecast,222963.68438016035,15925.113126823122
