"gate_id","role","left_model","right_model","estimand","n_rows","point_estimate","ci_low","ci_high","n_boot","resampling_unit","status","source_prediction_hashes","row_id_sha256","target_sha256","bootstrap_draw_sha256"
"Gate A","primary overall fidelity","extra_trees_leaf_1:weather_only","zero_residual:baseline","paired Delta RMSE (left minus right), t ha^{-1}","333","-0.0054190995744907","-0.0193637161610029","0.0090775116752038","2000","year_block","FAIL","f7be7b9042d741bd68e57d4f0a70a8eedb00960aca695782da0ced4dd9a16fad;f5873aad40672c6e3e180a4d2e01ce3f276bf2963fd2bcc674dc780c7c09d223","46eb6559bc1d0196c851225e30c573bd5dda42ff2bd74d77692c2ef37576f92b","f06b0ce72260feb1514d56e651b18b61be1cb6d468a668a3f69c05316d3230d7","879ad881615493d50ab496a8b8d165a61e650ba4ec15bb5707af0a8c31870f8a"
"Gate B1","primary conditional weather value","extra_trees_leaf_1:full","extra_trees_leaf_1:metadata_only","paired Delta RMSE (left minus right), t ha^{-1}","333","-0.012124514160681","-0.0293662890400475","0.0019502340837606","2000","year_block","FAIL","72878bd24895086d0c69f44faca568e658c60413ec7eced71565fe4748103280;576921c4761b68bf820c51f82b520110d634cd98121e0b567b0c4e6afa427b4c","46eb6559bc1d0196c851225e30c573bd5dda42ff2bd74d77692c2ef37576f92b","f06b0ce72260feb1514d56e651b18b61be1cb6d468a668a3f69c05316d3230d7","879ad881615493d50ab496a8b8d165a61e650ba4ec15bb5707af0a8c31870f8a"
"Gate B2","diagnostic representation contrast","extra_trees_leaf_1:weather_only","extra_trees_leaf_1:metadata_only","paired Delta RMSE (left minus right), t ha^{-1}","333","-0.005419099574491","-0.0193637161609967","0.0090775116752017","2000","year_block","FAIL","f7be7b9042d741bd68e57d4f0a70a8eedb00960aca695782da0ced4dd9a16fad;576921c4761b68bf820c51f82b520110d634cd98121e0b567b0c4e6afa427b4c","46eb6559bc1d0196c851225e30c573bd5dda42ff2bd74d77692c2ef37576f92b","f06b0ce72260feb1514d56e651b18b61be1cb6d468a668a3f69c05316d3230d7","879ad881615493d50ab496a8b8d165a61e650ba4ec15bb5707af0a8c31870f8a"
