scope,driver_group,baseline_r2,ablated_r2,r2_drop,baseline_rmse_t_ha,ablated_rmse_t_ha,rmse_increase_t_ha,baseline_mae_t_ha,ablated_mae_t_ha,mae_increase_t_ha,n_rows,removed_features,rank_rmse
all_rows,heat,0.09148149087483792,0.05825471355999401,0.033226777314843914,0.43112064180284815,0.43893342609235503,0.00781278428950688,0.32640041006799236,0.3326855692862113,0.0062851592182189275,343,"season_tmax_mean, season_tmean_mean, growing_degree_days_base5, heat_days_30, heat_days_35, heat_days_40, max_consecutive_heat_days_30, max_consecutive_heat_days_35, heatwave_events_3d_30, heatwave_events_3d_35, heat_degree_days_30, heat_degree_days_35",1
anomaly_rows,heat,-4.395776927439492,-4.875633283718857,0.47985635627936496,0.660000554766311,0.6887230980452241,0.028722543278913104,0.581741615644599,0.6080471491792989,0.026305533534699888,67,"season_tmax_mean, season_tmean_mean, growing_degree_days_base5, heat_days_30, heat_days_35, heat_days_40, max_consecutive_heat_days_30, max_consecutive_heat_days_35, heatwave_events_3d_30, heatwave_events_3d_35, heat_degree_days_30, heat_degree_days_35",1
all_rows,drought,0.09148149087483792,0.08409557043961025,0.0073859204352276775,0.43112064180284815,0.43286952047749855,0.0017488786746504004,0.32640041006799236,0.32815526335383877,0.0017548532858464028,343,"rain_sum, rain_mean, dry_days_1mm, dry_days_2mm, max_dry_spell_1mm, dry_spell_events_7d, dry_spell_events_14d, hot_dry_days_30_1mm",3
anomaly_rows,drought,-4.395776927439492,-4.231849128333868,-0.1639277991056236,0.660000554766311,0.6498975699069448,-0.010102984859366226,0.581741615644599,0.5739701806431735,-0.00777143500142552,67,"rain_sum, rain_mean, dry_days_1mm, dry_days_2mm, max_dry_spell_1mm, dry_spell_events_7d, dry_spell_events_14d, hot_dry_days_30_1mm",5
all_rows,frost_cold,0.09148149087483792,0.08597973813767856,0.00550175273715936,0.43112064180284815,0.43242404896912146,0.001303407166273307,0.32640041006799236,0.32833102933310343,0.0019306192651110665,343,"season_tmin_mean, frost_days_0, cold_days_5, min_tmin, frost_events_2d",5
anomaly_rows,frost_cold,-4.395776927439492,-4.274080660296562,-0.12169626714293003,0.660000554766311,0.6525152874014151,-0.0074852673648959644,0.581741615644599,0.57204225482137,-0.009699360823228975,67,"season_tmin_mean, frost_days_0, cold_days_5, min_tmin, frost_events_2d",4
all_rows,excess_rain,0.09148149087483792,0.08103126310819642,0.010450227766641507,0.43112064180284815,0.4335930335400114,0.0024723917371632376,0.32640041006799236,0.32831141773062245,0.001911007662630082,343,"heavy_rain_days_10, heavy_rain_days_20, heavy_rain_days_25, heavy_rain_days_50, max_1day_rain, max_3day_rain, max_7day_rain, wet_days_1mm",2
anomaly_rows,excess_rain,-4.395776927439492,-4.396441441763013,0.0006645143235211037,0.660000554766311,0.6600411945412341,4.063977492307913e-05,0.581741615644599,0.5736907702809426,-0.008050845363656411,67,"heavy_rain_days_10, heavy_rain_days_20, heavy_rain_days_25, heavy_rain_days_50, max_1day_rain, max_3day_rain, max_7day_rain, wet_days_1mm",3
all_rows,radiation,0.09148149087483792,0.08487311717241008,0.006608373702427839,0.43112064180284815,0.4326857416169497,0.0015650998141015782,0.32640041006799236,0.32756602945442537,0.0011656193864330033,343,"radiation_sum, radiation_mean",4
anomaly_rows,radiation,-4.395776927439492,-4.468083992265657,0.07230706482616522,0.660000554766311,0.6644080651915781,0.004407510425267103,0.581741615644599,0.5838640437600855,0.0021224281154864633,67,"radiation_sum, radiation_mean",2
