scope,driver_group,mean_abs_group_shap,mean_signed_group_shap,mean_stress_group_shap,n_rows,rank_abs,rank_stress,table,event_key,country,region,crop,year,window,signed_group_shap,abs_group_shap,stress_score
,excess_rain,,,,,2,2,event,United States|Colorado|Barley|1991|spring,United States,Colorado,Barley,1991.0,spring,-0.13193840633704298,0.13193840633704298,0.13193840633704298
,radiation,,,,,4,4,event,United States|Colorado|Barley|1991|spring,United States,Colorado,Barley,1991.0,spring,-0.04054637189008277,0.04054637189008277,0.04054637189008277
,heat,,,,,1,1,event,United States|Texas|Barley|1991|spring,United States,Texas,Barley,1991.0,spring,-0.07211537168466739,0.07211537168466739,0.07211537168466739
,drought,,,,,3,3,event,United States|Texas|Barley|1991|spring,United States,Texas,Barley,1991.0,spring,-0.04993280932363094,0.04993280932363094,0.04993280932363094
,frost_cold,,,,,4,4,event,United States|Texas|Barley|1991|spring,United States,Texas,Barley,1991.0,spring,-0.012159371460698214,0.012159371460698214,0.012159371460698214
,excess_rain,,,,,2,2,event,United States|Texas|Barley|1991|spring,United States,Texas,Barley,1991.0,spring,-0.05382812970012011,0.05382812970012011,0.05382812970012011
,radiation,,,,,5,5,event,United States|Texas|Barley|1991|spring,United States,Texas,Barley,1991.0,spring,-0.00368813150759724,0.00368813150759724,0.00368813150759724
,heat,,,,,4,4,event,United States|Iowa|Oats|1991|spring,United States,Iowa,Oats,1991.0,spring,-0.036103586724536396,0.036103586724536396,0.036103586724536396
,drought,,,,,2,2,event,United States|Iowa|Oats|1991|spring,United States,Iowa,Oats,1991.0,spring,-0.08687872861559781,0.08687872861559781,0.08687872861559781
,frost_cold,,,,,5,5,event,United States|Iowa|Oats|1991|spring,United States,Iowa,Oats,1991.0,spring,-0.0016615339407111303,0.0016615339407111303,0.0016615339407111303
,excess_rain,,,,,1,1,event,United States|Iowa|Oats|1991|spring,United States,Iowa,Oats,1991.0,spring,-0.14635237842825946,0.14635237842825946,0.14635237842825946
,radiation,,,,,3,3,event,United States|Iowa|Oats|1991|spring,United States,Iowa,Oats,1991.0,spring,-0.039991408321343,0.039991408321343,0.039991408321343
,heat,,,,,2,2,event,United States|Minnesota|Oats|1991|spring,United States,Minnesota,Oats,1991.0,spring,-0.06838438344919016,0.06838438344919016,0.06838438344919016
,drought,,,,,1,1,event,United States|Minnesota|Oats|1991|spring,United States,Minnesota,Oats,1991.0,spring,-0.1621380147176597,0.1621380147176597,0.1621380147176597
,frost_cold,,,,,4,4,event,United States|Minnesota|Oats|1991|spring,United States,Minnesota,Oats,1991.0,spring,-0.03979926935890018,0.03979926935890018,0.03979926935890018
,excess_rain,,,,,3,3,event,United States|Minnesota|Oats|1991|spring,United States,Minnesota,Oats,1991.0,spring,-0.06817844290928585,0.06817844290928585,0.06817844290928585
,radiation,,,,,5,5,event,United States|Minnesota|Oats|1991|spring,United States,Minnesota,Oats,1991.0,spring,-0.01593008936705006,0.01593008936705006,0.01593008936705006
,heat,,,,,3,3,event,United States|Illinois|Wheat|1991|winter,United States,Illinois,Wheat,1991.0,winter,-0.1047484337403138,0.1047484337403138,0.1047484337403138
,drought,,,,,1,1,event,United States|Illinois|Wheat|1991|winter,United States,Illinois,Wheat,1991.0,winter,-0.24442515572816784,0.24442515572816784,0.24442515572816784
