feature,driver_group,mean_abs_shap_all,mean_signed_shap_all,mean_abs_shap_eval,mean_signed_shap_eval,mean_abs_shap_anomalies,mean_signed_shap_anomalies,mean_abs_shap_eval_anomalies,mean_signed_shap_eval_anomalies,rank_all,rank_eval
heatwave_events_3d_30,heat,0.01948725560114898,-0.0022422329747759503,0.02246853446162488,-0.008217162825928189,0.023185505148657255,-0.016141447596058858,0.027041504515882712,-0.016549179453471376,2,1
rain_mean,drought,0.020632274481105262,-0.00025215950007660405,0.020851381792185274,-0.0009240947276859795,0.0304685962876796,-0.023265946798959297,0.025308226340416597,-0.011839172673538819,1,2
rain_sum,drought,0.015516153631228598,-4.0494352489874775e-07,0.014821241315385755,-1.4840058623808038e-06,0.0229575511425288,-0.018049232153938576,0.01969865005754627,-0.008861652091998701,4,3
dry_spell_events_14d,drought,0.016686006566220615,0.0005693161649125281,0.013433384711415442,0.0020863860620846876,0.019459057330394644,-0.01155451417078115,0.01062119291570239,0.00403642459750753,3,4
heavy_rain_days_10,excess_rain,0.01354556822823522,-4.405897769840417e-05,0.01179076584510871,-0.00016146395034079603,0.0167737700441621,-0.011376606077598078,0.01312362643327076,0.0001138245289497529,5,5
frost_events_2d,frost_cold,0.013513657102743834,0.0010386984344636675,0.011442153356994948,0.003806542076154022,0.015066568974739758,-0.00813202599769821,0.010786133973570446,0.0035055716058864325,6,6
max_7day_rain,excess_rain,0.0126436689259136,0.0001861095212519259,0.011428309283238207,0.0006820398490194494,0.017164584825633957,-0.011399168562996026,0.014180333954534836,-3.591154391518178e-05,7,7
wet_days_1mm,excess_rain,0.011299334833262412,-0.00022592667578530954,0.01036134394618295,-0.0008279586923094282,0.017237777640294064,-0.014827236905972924,0.01353183404920765,-0.007826335728710509,8,8
dry_days_1mm,drought,0.011144466634298576,-5.833098003864805e-06,0.009943151382210308,-2.137668860308254e-05,0.01572517301973803,-0.01173101946517124,0.010900991392922499,-0.0009386745090758364,9,9
min_tmin,frost_cold,0.010033518828749022,-0.0005025618262154075,0.009308224664522222,-0.0018417498995707507,0.010522571331498098,-0.00823725106310186,0.006248011364369504,-0.0023313573652687957,12,10
heavy_rain_days_20,excess_rain,0.010144260787444723,0.00010320139405955136,0.008897471374953317,0.0003782045257517677,0.013304467403167312,-0.009466521203375778,0.011653931633408495,-0.001429815283360135,11,11
dry_spell_events_7d,drought,0.010487242622332586,-0.0003088298439439135,0.008535414806260718,-0.0011317758420918331,0.011908598700771508,-0.008703207619076447,0.006924831051777248,-1.4357781485566561e-05,10,12
heat_days_30,heat,0.008980055097112307,-5.812415069021682e-05,0.007912899254558722,-0.00021300891375394452,0.012380392472232651,-0.00895972600214539,0.01089542982028099,-0.004509200627014225,13,13
heavy_rain_days_50,excess_rain,0.0069103904640320955,0.00012714370382619364,0.006637124325301054,0.0004659464597945341,0.00634240630820081,-0.0029122480372311124,0.003932157550338364,5.7209399185479215e-05,21,14
heavy_rain_days_25,excess_rain,0.007708208763541571,1.5264827870224977e-05,0.00631703853088622,5.5941366276598006e-05,0.01001626148359545,-0.006921278427592952,0.006603563091938211,-0.0004053976409906149,16,15
max_dry_spell_1mm,drought,0.008775252571493529,0.00020177338434657202,0.006172417309657012,0.0007394435688735884,0.010887082291760468,-0.007654871535262197,0.006437843872535765,0.0027029506478571143,14,16
hot_dry_days_30_1mm,drought,0.007191305323080143,-3.461026707466409e-05,0.005729755747015722,-0.00012683704289461433,0.009048233144133914,-0.006670866933791755,0.008219170272125242,-0.002157222753790665,18,17
max_consecutive_heat_days_30,heat,0.007087166115465128,-4.5867852949727924e-05,0.005677080287207357,-0.00016809297713646712,0.009498521231719662,-0.007855717942712602,0.006559118360121113,-0.0035718307421337887,19,18
dry_days_2mm,drought,0.006965978954419433,-8.567118259935698e-05,0.005665401717650525,-0.0003139611560565339,0.011055244192815606,-0.009534768750961401,0.006209396068946729,-0.0025081237626257847,20,19
heatwave_events_3d_35,heat,0.005617999042905665,0.0003378348826863352,0.005513200974130867,0.0012380712756172696,0.006470655775367312,-0.004380497381955736,0.005095551032602812,-0.001443920834834931,24,20
radiation_sum,radiation,0.006897672952956836,3.564226181861161e-05,0.005355845239536855,0.00013061901780173324,0.00842763302647364,-0.007261712611859159,0.0046910186771749645,-0.0023903055485015095,22,21
max_3day_rain,excess_rain,0.007451157953072517,0.00042053314487069585,0.0053160111255310715,0.0015411375017564577,0.01069764526347039,-0.007918916123631273,0.005859096597324977,0.0007912223545582121,17,22
max_1day_rain,excess_rain,0.008268814062680768,4.9833145271220436e-05,0.005284071366290085,0.0001826246752359296,0.010765442813267625,-0.008655467903996324,0.0054236490694442386,-0.00041380669121698384,15,23
max_consecutive_heat_days_35,heat,0.005103575629200595,-0.00017797481210320656,0.0046841079509491535,-0.000652228393042947,0.00535561210818465,-0.0037194584031024413,0.004277466195207651,-0.0013016206845688555,29,24
radiation_mean,radiation,0.0058178269780836305,-5.867813895580436e-05,0.004477261769344598,-0.00021503912731033793,0.006985462141197741,-0.006160093722468705,0.004224945254912143,-0.002764092370734569,23,25
frost_days_0,frost_cold,0.005340255049147743,-0.00018613870590149015,0.0042677175111730395,-0.0006821468026768899,0.006666567918612063,-0.005000763313102994,0.00426273735589285,-0.0012905340037528167,27,26
season_tmax_mean,heat,0.005212063696295986,-0.00019885587665373713,0.003995742451344819,-0.0007287517112354161,0.005589847115437905,-0.004787609750460311,0.0029478572002797883,-0.0010485335291470215,28,27
growing_degree_days_base5,heat,0.005431876066013078,-0.0004527480744318176,0.003985944950128711,-0.0016591962960956104,0.006746845074531569,-0.0057772689612780965,0.004468027387420135,-0.0032615785083398973,26,28
heat_days_35,heat,0.004705366702974978,2.927945782183407e-05,0.0037516788154641715,0.00010730110344619658,0.005959195419437913,-0.003964970061725597,0.0039037668827318884,-0.0005597781526132478,31,29
season_tmean_mean,heat,0.004622742526628953,-0.00027391597369822227,0.0036406225169080876,-0.001003826177663748,0.005257556946238931,-0.004484530252345777,0.003830478522475638,-0.002595149701982981,33,30
season_tmin_mean,frost_cold,0.00462924070228674,-0.00031026095381471176,0.0036273973275049295,-0.0011370204633967716,0.005263615976343401,-0.004362803107698881,0.00393727209073453,-0.001526359795798024,32,31
heat_degree_days_30,heat,0.00552883908210673,7.392542747396377e-05,0.0035787642343519804,0.0002709162167194533,0.007479611172933893,-0.005809611598956732,0.004294869438295203,-0.0009187467566395866,25,32
