role,config_id,model,feature_family,selection_rule,validation_rmse_t_ha,locked_rows,row_id_sha256,target_sha256,prediction_sha256,locked_test_access_for_selection
Gate A selected model,extra_trees_leaf_1,ExtraTrees,weather_only,Fixed architecture inherited from the validation-selected Gate A configuration; feature family is changed only to form the pre-specified Gate B1/B2 contrast.,0.3830639079163425,333,46eb6559bc1d0196c851225e30c573bd5dda42ff2bd74d77692c2ef37576f92b,f06b0ce72260feb1514d56e651b18b61be1cb6d468a668a3f69c05316d3230d7,f7be7b9042d741bd68e57d4f0a70a8eedb00960aca695782da0ced4dd9a16fad,False
Gate B1 left representative,extra_trees_leaf_1,ExtraTrees,full,Fixed architecture inherited from the validation-selected Gate A configuration; feature family is changed only to form the pre-specified Gate B1/B2 contrast.,0.390242926258897,333,46eb6559bc1d0196c851225e30c573bd5dda42ff2bd74d77692c2ef37576f92b,f06b0ce72260feb1514d56e651b18b61be1cb6d468a668a3f69c05316d3230d7,72878bd24895086d0c69f44faca568e658c60413ec7eced71565fe4748103280,False
Gate B1 right representative,extra_trees_leaf_1,ExtraTrees,metadata_only,Fixed architecture inherited from the validation-selected Gate A configuration; feature family is changed only to form the pre-specified Gate B1/B2 contrast.,0.4065692344648509,333,46eb6559bc1d0196c851225e30c573bd5dda42ff2bd74d77692c2ef37576f92b,f06b0ce72260feb1514d56e651b18b61be1cb6d468a668a3f69c05316d3230d7,576921c4761b68bf820c51f82b520110d634cd98121e0b567b0c4e6afa427b4c,False
Gate B2 left diagnostic representative,extra_trees_leaf_1,ExtraTrees,weather_only,Fixed architecture inherited from the validation-selected Gate A configuration; feature family is changed only to form the pre-specified Gate B1/B2 contrast.,0.3830639079163425,333,46eb6559bc1d0196c851225e30c573bd5dda42ff2bd74d77692c2ef37576f92b,f06b0ce72260feb1514d56e651b18b61be1cb6d468a668a3f69c05316d3230d7,f7be7b9042d741bd68e57d4f0a70a8eedb00960aca695782da0ced4dd9a16fad,False
Gate B2 right diagnostic representative,extra_trees_leaf_1,ExtraTrees,metadata_only,Fixed architecture inherited from the validation-selected Gate A configuration; feature family is changed only to form the pre-specified Gate B1/B2 contrast.,0.4065692344648509,333,46eb6559bc1d0196c851225e30c573bd5dda42ff2bd74d77692c2ef37576f92b,f06b0ce72260feb1514d56e651b18b61be1cb6d468a668a3f69c05316d3230d7,576921c4761b68bf820c51f82b520110d634cd98121e0b567b0c4e6afa427b4c,False
