crop,region,fit_year_min,fit_year_max,evaluation_year_min,evaluation_year_max,n_fit,n_evaluation,trend_slope_t_ha_per_year,residual_scale_t_ha,future_access,excluded_evaluation_rows_insufficient_history,fold
Oats,Washington,1990,2015,2016,2018,26,3,0.0028571282051282083,0.4025586799660392,False,10,final_test
Wheat,Colorado,1990,2015,2016,2025,26,10,0.002090905982905898,0.4046819613080583,False,10,final_test
Wheat,Illinois,1990,2015,2016,2025,26,10,0.05741114529914371,0.4223698849925864,False,10,final_test
Wheat,Iowa,1990,2015,2016,2018,26,3,0.04179986324786187,0.4807387091346461,False,10,final_test
Wheat,Kansas,1990,2015,2016,2025,26,10,0.0031267008547006996,0.4106584804182411,False,10,final_test
Wheat,Minnesota,1990,2015,2016,2025,26,10,0.06110389743589477,0.4639021497328593,False,10,final_test
Wheat,Montana,1990,2015,2016,2025,26,10,0.01306547008546991,0.30890231012962466,False,10,final_test
Wheat,Nebraska,1990,2015,2016,2025,26,10,0.02276239316239229,0.31797428232296376,False,10,final_test
Wheat,North Dakota,1990,2015,2016,2025,26,10,0.03604533333333183,0.34401093053832754,False,10,final_test
Wheat,Oklahoma,1990,2015,2016,2025,26,10,-0.004311692307692232,0.4006094550164978,False,10,final_test
Wheat,South Dakota,1990,2015,2016,2025,26,10,0.04758598290598121,0.32395560980073745,False,10,final_test
Wheat,Texas,1990,2015,2016,2025,26,10,-0.0024364786324785302,0.2332314950710128,False,10,final_test
Wheat,Washington,1990,2015,2016,2025,26,10,0.008462905982905868,0.44900631759970205,False,10,final_test
