fold,train_end,test_start,test_end,n_train,n_test,r2,rmse_t_ha,mae_t_ha,sign_accuracy,spearman,delta_rmse_vs_zero
1,2003,2004,2006,473,103,0.034334598819454,0.437088160392479,0.35867208596555367,0.5242718446601942,0.19041682215724234,-0.009596452389123822
2,2006,2007,2009,561,102,-0.08130539181323804,0.44990441700713873,0.33555831822949084,0.6176470588235294,0.038637863161604315,0.017161326493964124
3,2009,2010,2012,663,102,0.05835023752974233,0.3921290440961554,0.31639289243283497,0.5294117647058824,0.2775240456776629,-0.015389247055870359
4,2012,2013,2015,769,105,0.15892254745442203,0.38600792206585394,0.30485047319233044,0.6571428571428571,0.3003945937284342,-0.034927032346190545
