feature_design,n_weather_features,validation_selected_config,validation_rmse_t_ha,n_final,r2,rmse_t_ha,mae_t_ha,sign_accuracy,spearman,delta_rmse_vs_primary
primary_full_season,35,extra_trees_leaf_2,0.3883684871608467,333,-0.0019064940846094114,0.6646058337766811,0.4699380884070064,0.6426426426426426,0.2345393875225778,0.0
full_season_plus_stage_proxies,50,extra_trees_leaf_2,0.38325225631593396,333,0.00039706241604420267,0.6638413721753536,0.4714248238786475,0.6336336336336337,0.23585781871619835,-0.0007644616013275929
