protocol,n,n_below_trend,r2,rmse_t_ha,mae_t_ha,sign_accuracy,spearman,anomaly_set_jaccard_vs_train_only,prediction_rank_spearman_vs_train_only
train_only_detrending,333,73,-0.014123481645498037,0.6686455716705484,0.47415457766762154,0.6336336336336337,0.21330258318921033,1.0,1.0
full_series_detrending_retrospective,333,65,0.09761595482596408,0.42908579636824107,0.32426293650805393,0.6306306306306306,0.32667614342804174,0.6046511627906976,0.9417456733212956
