threshold,n,model_rmse_t_ha,baseline_rmse_t_ha,paired_delta_rmse,paired_delta_rmse_ci95_low,paired_delta_rmse_ci95_high,model_mae_t_ha,baseline_mae_t_ha,paired_delta_mae,paired_delta_mae_ci95_low,paired_delta_mae_ci95_high,sign_accuracy,spearman,top_k,top_k_recall,tail_gate
z<-1,73,0.778233030091547,0.8213040670789693,-0.04307103698742232,-0.07419996693003657,0.0065706822448254685,0.6831843391459982,0.7376537507696596,-0.05446941162366137,-0.0956869155862794,0.0019834400368221204,0.547945205479452,0.18041946434500375,10,0.1,FAIL
z<-1.5,52,0.8707489802118297,0.9264090733271187,-0.05566009311528908,-0.083409214767473,-0.0020212479835082873,0.7796217760307074,0.8526181563841637,-0.07299638035345635,-0.10862016769580635,-0.007144922717664111,0.5961538461538461,0.060367867487783285,10,0.1,FAIL
z<-2,36,0.9787108809982278,1.03511621220155,-0.05640533120332225,-0.08960978108162247,0.014058189674696053,0.8901527746785454,0.9661438335149026,-0.07599105883635726,-0.11820084028041929,0.015349714669769296,0.5833333333333334,-0.05078306796671697,10,0.1,FAIL
