aggregation,r2,rmse_t_ha,mae_t_ha,median_ae_t_ha,spearman,sign_accuracy
micro,-0.01662387721811731,0.6694693614708805,0.4732353001949823,0.35395976982831934,0.21444411730105403,0.6456456456456456
macro_by_crop,-0.06226583281714801,0.7036504445366685,0.5274322437963382,0.4072804083245205,0.15680697851567285,0.6289457887245498
