fold,train_end,test_start,test_end,n_train,n_test,r2,rmse_t_ha,mae_t_ha,median_ae_t_ha,spearman,sign_accuracy
1,2003,2004,2006,473,103,0.04548329319662714,0.43455772449435104,0.3581503498023926,0.33402803182234536,0.18468567412028294,0.5922330097087378
2,2006,2007,2009,561,102,-0.0630012487989331,0.44608021358582617,0.33376505054768435,0.26732364315720525,0.11939429237041353,0.6274509803921569
3,2009,2010,2012,663,102,0.06254559677746185,0.3912545370551584,0.31325320777022664,0.2608101829626085,0.2527834165483938,0.5392156862745098
4,2012,2013,2015,769,105,0.11675945664324894,0.3955648750519544,0.31538357358147495,0.25882810535829753,0.19582210242587597,0.6095238095238096
5,2015,2016,2025,879,333,-0.01662387721811731,0.6694693614708805,0.4732353001949823,0.35395976982831934,0.21444411730105403,0.6456456456456456
