model_scope,crop,n_train,n_test,r2,rmse_t_ha,mae_t_ha,median_ae_t_ha,spearman,sign_accuracy
pooled,all,879,333,-0.01662387721811731,0.6694693614708805,0.4732353001949823,0.3539597698283194,0.21444411730105403,0.6456456456456456
crop_specific,Barley,182,66,0.005110325003728544,0.7532914429924338,0.5984427928764192,0.5026699033119589,0.0939985387746582,0.5606060606060606
crop_specific,Canola,73,50,-0.2695652254243517,1.098072544444693,0.781383254198597,0.5056214120911162,0.1795438175270108,0.58
crop_specific,Oats,312,104,0.05014677432894277,0.4281878947395292,0.33792369577580517,0.28370020890312636,0.1150005334471354,0.6057692307692307
crop_specific,Wheat,312,113,0.014120345780011534,0.5032154819330035,0.39579999662626686,0.29460212300566735,0.3627819548872181,0.6017699115044248
