crop,r2,rmse_t_ha,mae_t_ha,median_ae_t_ha,spearman,sign_accuracy,aggregation
Barley,0.028431299073939487,0.7444102252686041,0.5906637206410281,0.5206457360729393,0.16017117211147067,0.5909090909090909,per_crop
Canola,-0.40001728486630705,1.1531086302183595,0.7941451962992592,0.5110430684555922,-0.1894357743097239,0.56,per_crop
Oats,0.07236026804326656,0.42315142247043364,0.3355196660037977,0.2740695111484874,0.22720580390483305,0.6923076923076923,per_crop
Wheat,0.05016238648050897,0.49393150018927673,0.3894003922412682,0.3233633176210631,0.42928671235611154,0.672566371681416,per_crop
