model,feature_family,seed,n_train,n_test,r2,rmse_t_ha,mae_t_ha,median_ae_t_ha,spearman,sign_accuracy
ridge_panel,metadata_only,7,734,140,-0.0011300432462328924,0.40656923446485055,0.32624391835804506,0.26447168266516013,-0.03507060534579177,0.4857142857142857
ridge_panel,weather_only,7,734,140,-0.03147186343993691,0.41268431006987,0.32614269702097304,0.24928299639095958,0.003628339150013918,0.4857142857142857
ridge_panel,full,7,734,140,-0.03477824529131568,0.4133452104013454,0.33340716539764725,0.2698683898040074,0.0322100981828519,0.5071428571428571
random_forest,metadata_only,7,734,140,-0.009163263906544872,0.4081971621798781,0.328144601892725,0.27479037382790605,-0.12351713200129656,0.4142857142857143
random_forest,weather_only,7,734,140,0.08330761105521367,0.38904611027302166,0.31588506552277784,0.2756915090358899,0.2549001203104111,0.6
random_forest,full,7,734,140,0.06789398885990494,0.3923032618661409,0.31715161912937884,0.2790436814574747,0.25416894447967464,0.6
extra_trees,metadata_only,7,734,140,-0.0011300432462346688,0.40656923446485094,0.3262439183580444,0.26447168266515775,-0.01777280138834015,0.4714285714285714
extra_trees,weather_only,7,734,140,0.101672856469881,0.3851292695641998,0.30709651232028384,0.2506469864081665,0.31267360252063875,0.5928571428571429
extra_trees,full,7,734,140,0.07013884574229134,0.391830571234339,0.3156234203478246,0.27967895427224726,0.24288119656250687,0.5928571428571429
