n,prevalence,pr_auc,roc_auc,balanced_accuracy,precision,recall,f1,true_positive,false_positive,true_negative,false_negative,decision_score_threshold,threshold,scope,status
333,0.21921921921921922,0.33775298064659737,0.6413856691253951,0.5893572181243414,0.29411764705882354,0.547945205479452,0.3827751196172249,40,96,164,33,0.0,z<-1,locked_final_test,DIAGNOSTIC
333,0.15615615615615616,0.2937126431933982,0.6718450588557349,0.6112441828633999,0.22794117647058823,0.5961538461538461,0.32978723404255317,31,105,176,21,0.0,z<-1.5,locked_final_test,DIAGNOSTIC
333,0.10810810810810811,0.21674161928789648,0.6722783389450057,0.5980639730639731,0.15441176470588236,0.5833333333333334,0.2441860465116279,21,115,182,15,0.0,z<-2,locked_final_test,DIAGNOSTIC
