scope,crop,n_train,n_test,r2,rmse_t_ha,mae_t_ha,sign_accuracy,spearman
crop_specific_model,Barley,182,66,0.004791777799909913,0.7534120290655507,0.5967980325479195,0.5,0.08673416136102705
crop_specific_model,Canola,73,50,-0.2733749860229837,1.0997188796263304,0.7872403535911912,0.46,0.13536614645858341
crop_specific_model,Oats,312,104,0.07206966184269792,0.42321769862999,0.33295132537680827,0.6538461538461539,0.14014723140936736
crop_specific_model,Wheat,312,113,-0.015799855622421033,0.5107943860961057,0.40095115288102473,0.6106194690265486,0.32217712422649547
