protocol,driver_group,mean_abs_feature_shift,n_rows
global,heat,103.00566466466465,333
global,drought,41.70670045045045,333
global,frost_cold,24.498695495495493,333
global,excess_rain,13.009654654654655,333
global,radiation,231.9140990990991,333
within_crop,heat,89.21754254254256,333
within_crop,drought,36.99163588588589,333
within_crop,frost_cold,19.63015015015015,333
within_crop,excess_rain,13.746013513513516,333
within_crop,radiation,182.53273873873871,333
within_crop_window,heat,89.88928778778778,333
within_crop_window,drought,33.55868168168168,333
within_crop_window,frost_cold,13.691735735735737,333
within_crop_window,excess_rain,13.080195195195195,333
within_crop_window,radiation,165.56544744744747,333
within_state,heat,34.587912412412415,333
within_state,drought,28.520865615615612,333
within_state,frost_cold,17.279059459459457,333
within_state,excess_rain,9.62280780780781,333
within_state,radiation,125.13064864864866,333
within_year,heat,92.89485435435435,333
within_year,drought,39.43541366366366,333
within_year,frost_cold,25.008084084084082,333
within_year,excess_rain,12.667860360360361,333
within_year,radiation,214.91417417417418,333
