protocol,driver_group,n_features,baseline_rmse_t_ha,rmse_increase_t_ha,ci95_low,ci95_high,repeats,rank
global,heat,12,0.6694693614708805,0.008479694451879965,0.00195133998668266,0.014602206510989054,20,1
global,drought,8,0.6694693614708805,-0.0016202197333063605,-0.006852970353074572,0.003556317910119895,20,5
global,frost_cold,5,0.6694693614708805,0.0013573122988917274,-0.002656504023341849,0.004108096409787989,20,4
global,excess_rain,8,0.6694693614708805,0.0040677226154632595,0.000813668286549768,0.008107953506839722,20,2
global,radiation,2,0.6694693614708805,0.00318565983156468,0.0019309439509601096,0.0045111112814399165,20,3
within_crop,heat,12,0.6694693614708805,0.00917583477672762,0.003700308867261459,0.01826956977401462,20,1
within_crop,drought,8,0.6694693614708805,0.00034663643513891393,-0.004389796872567908,0.005243571571121888,20,5
within_crop,frost_cold,5,0.6694693614708805,0.0006310677426492883,-0.0018657958942104756,0.003729518185156034,20,4
within_crop,excess_rain,8,0.6694693614708805,0.004312217122383494,-0.0014528065148765338,0.01019729434687242,20,2
within_crop,radiation,2,0.6694693614708805,0.0023394076816391275,0.0009789183555279136,0.0036524053054220705,20,3
within_crop_window,heat,12,0.6694693614708805,0.008604911614050498,0.0034108254700325885,0.01574502086486709,20,1
within_crop_window,drought,8,0.6694693614708805,-0.0017675829590931614,-0.009405640498172493,0.0068982344622415,20,5
within_crop_window,frost_cold,5,0.6694693614708805,0.0015231884393512862,-0.0007561694310841555,0.0034478248303508674,20,4
within_crop_window,excess_rain,8,0.6694693614708805,0.0031592900307358617,-0.0028286412604160175,0.009905882255774585,20,2
within_crop_window,radiation,2,0.6694693614708805,0.0016766579716963105,-0.00010022720629568049,0.0033131171971308563,20,3
within_state,heat,12,0.6694693614708805,0.005504385693357594,-0.0005751422390064598,0.011709873884199664,20,2
within_state,drought,8,0.6694693614708805,0.0026419322461747664,-0.003367130877514837,0.008473939952993687,20,4
within_state,frost_cold,5,0.6694693614708805,0.0016050557508452024,-0.0008111761290422542,0.0047055520044867,20,5
within_state,excess_rain,8,0.6694693614708805,0.005532329942517305,0.0005149120485409803,0.010529021871383847,20,1
within_state,radiation,2,0.6694693614708805,0.003135198043037113,0.0012951285689466684,0.0044802449254004225,20,3
within_year,heat,12,0.6694693614708805,0.009185853575792347,0.003866952673163407,0.015812426769825822,20,1
within_year,drought,8,0.6694693614708805,-0.0024809302676565836,-0.008233656052692748,0.0027616449436364174,20,5
within_year,frost_cold,5,0.6694693614708805,0.0014710529221884706,-0.0004378498660257329,0.003980499848719815,20,4
within_year,excess_rain,8,0.6694693614708805,0.003967229235052655,0.0001734220745547272,0.008606123249536204,20,3
within_year,radiation,2,0.6694693614708805,0.004139694997229604,0.002876408825862031,0.005621375045726928,20,2
