feature_family,mean_abs_shap,share_of_total
weather,0.23121871099690433,0.8729835380768837
location,0.003918361160499259,0.014794065647228198
crop,0.010483175040317589,0.039580011485741105
state,0.019240086258579227,0.07264238479014704
