scope,config_id,model,feature_family,metric,estimate,ci95_low,ci95_high,n_boot,resampling_unit
overall,ridge_alpha_1,Ridge,full,mae_t_ha,0.5140951832536101,0.4601181009245917,0.5765571877168277,2000,year_block
overall,ridge_alpha_1,Ridge,metadata_only,r2,-0.030628207934118468,-0.12801266810482242,-0.0004649431376834153,2000,year_block
overall,ridge_alpha_1,Ridge,metadata_only,rmse_t_ha,0.6740646712450382,0.5890220291624014,0.7556970779270489,2000,year_block
overall,ridge_alpha_1,Ridge,metadata_only,mae_t_ha,0.49313582180974624,0.4342877704020926,0.5622729630450537,2000,year_block
overall,ridge_alpha_1,Ridge,weather_only,r2,-0.03379396780661481,-0.1287374748953087,0.007301801942641396,2000,year_block
overall,ridge_alpha_1,Ridge,weather_only,rmse_t_ha,0.6750991328957939,0.5868708501563451,0.7598227768788495,2000,year_block
overall,ridge_alpha_1,Ridge,weather_only,mae_t_ha,0.49559106332271946,0.4353761897322474,0.5667554514946036,2000,year_block
overall,ridge_alpha_10,Ridge,full,r2,-0.04697621982600486,-0.16638813029458457,0.014838175087463474,2000,year_block
overall,ridge_alpha_10,Ridge,full,rmse_t_ha,0.6793897058040478,0.5975688815006239,0.7563811345426039,2000,year_block
overall,ridge_alpha_10,Ridge,full,mae_t_ha,0.5011104913007839,0.4461700140072524,0.5664588910827396,2000,year_block
overall,ridge_alpha_10,Ridge,metadata_only,r2,-0.0306282079341198,-0.12801266810482376,-0.00046494313768495295,2000,year_block
overall,ridge_alpha_10,Ridge,metadata_only,rmse_t_ha,0.6740646712450387,0.5890220291624017,0.7556970779270492,2000,year_block
overall,ridge_alpha_10,Ridge,metadata_only,mae_t_ha,0.4931358218097464,0.43428777040209277,0.5622729630450539,2000,year_block
overall,ridge_alpha_10,Ridge,weather_only,r2,-0.03256607890980523,-0.12960334732004053,0.008071527444227794,2000,year_block
overall,ridge_alpha_10,Ridge,weather_only,rmse_t_ha,0.6746980892415307,0.5863641156847097,0.7581356552288677,2000,year_block
overall,ridge_alpha_10,Ridge,weather_only,mae_t_ha,0.49379306157236197,0.43464969831512584,0.5629307578151631,2000,year_block
overall,train_mean,Train mean,baseline,r2,-0.03062820793413157,-0.1280126681048365,-0.0004649431376999354,2000,year_block
overall,train_mean,Train mean,baseline,rmse_t_ha,0.6740646712450425,0.5890220291624041,0.7556970779270535,2000,year_block
overall,train_mean,Train mean,baseline,mae_t_ha,0.4931358218097483,0.4342877704020936,0.5622729630450553,2000,year_block
overall,zero_residual,Zero residual,baseline,r2,-0.030628207934121354,-0.12801266810481324,-0.0004649431376986087,2000,year_block
overall,zero_residual,Zero residual,baseline,rmse_t_ha,0.6740646712450391,0.5890220291624005,0.7556970779270473,2000,year_block
overall,zero_residual,Zero residual,baseline,mae_t_ha,0.4931358218097436,0.43428777040208605,0.5622729630450513,2000,year_block
