min_history,n_train,n_test,tail_z_lt_1_n,eligibility_jaccard_vs_history3,r2,rmse_t_ha,mae_t_ha,sign_accuracy,spearman,baseline_rmse_t_ha,delta_rmse_t_ha,delta_rmse_ci95_low,delta_rmse_ci95_high,gate_a_overall_status
3,879,333,73,1.0,-0.014123481645498037,0.6686455716705484,0.47415457766762137,0.6336336336336337,0.21330258318921033,0.6740646712450391,-0.0054190995744907156,-0.01936371616100293,0.00907751167520386,PRIMARY FAIL
5,879,333,73,1.0,-0.014123481645498037,0.6686455716705484,0.47415457766762137,0.6336336336336337,0.21330258318921033,0.6740646712450391,-0.0054190995744907156,-0.01936371616100293,0.00907751167520386,SENSITIVITY FAIL; SAME ELIGIBLE POPULATION
8,867,313,73,0.93993993993994,0.07881642309009218,0.5296553734573708,0.40889306663982083,0.6517571884984026,0.29055433057508445,0.5527896179373066,-0.02313424447993584,-0.040679782239656355,-0.007375510348920091,SENSITIVITY PASS; DIFFERENT POPULATION
10,867,313,73,0.93993993993994,0.07881642309009218,0.5296553734573708,0.40889306663982083,0.6517571884984026,0.29055433057508445,0.5527896179373066,-0.02313424447993584,-0.040679782239656355,-0.007375510348920091,SENSITIVITY PASS; DIFFERENT POPULATION
