detrending,fit_scope,n_train,n_test,event_n_z_lt_1,r2,rmse_t_ha,mae_t_ha,sign_accuracy,spearman,baseline_rmse_t_ha,delta_rmse_t_ha,delta_rmse_ci95_low,delta_rmse_ci95_high,status
linear_train_only,training years only,879,333,73,-0.014123481645498037,0.6686455716705484,0.47415457766762137,0.6336336336336337,0.21330258318921033,0.6740646712450391,-0.0054190995744907156,-0.01936371616100293,0.00907751167520386,SENSITIVITY FAIL
huber_train_only,training years only,879,333,40,-0.3379774669787603,0.6479434332470178,0.5191530405508781,0.6096096096096096,0.19786880230964338,0.6548233019204548,-0.0068798686734370396,-0.022050844419620082,0.008389027483075077,SENSITIVITY FAIL
