n,spearman,kendall_tau,spearman_ci95_low,spearman_ci95_high,permutation_pvalue,n_boot,n_permutations,threshold,status
73,0.18041946434500375,0.1122415567384503,-0.03501684088379576,0.3734516715582688,0.36176382361763826,2000,10000,z<-1,FAIL
52,0.060367867487783285,0.036559293894523365,-0.1508027781179936,0.41649120415473007,0.5112488751124887,2000,10000,z<-1.5,FAIL
36,-0.05078306796671697,-0.04501980100809578,-0.3058162000979554,0.4971986877850389,0.7974202579742026,2000,10000,z<-2,FAIL
