scope,comparison,metric,delta_left_minus_right,ci95_low,ci95_high,n,n_boot,resampling_unit
overall,random_forest_leaf_2_full_vs_train_mean,rmse_t_ha,-0.010266215089388,-0.0244579681865527,0.0030409199514596,333,2000,year_block
overall,random_forest_leaf_2_full_vs_train_mean,mae_t_ha,-0.0209718961812598,-0.0368780258117475,-0.0043685969449693,333,2000,year_block
overall,random_forest_leaf_2_metadata_only_vs_zero,rmse_t_ha,0.0004040898539605,0.0002200561173251,0.0006017625040587,333,2000,year_block
overall,random_forest_leaf_2_metadata_only_vs_zero,mae_t_ha,0.0004605416608026,0.0002134837700889,0.0007323037806869,333,2000,year_block
overall,random_forest_leaf_2_metadata_only_vs_train_mean,rmse_t_ha,0.0004040898539571,0.0002200561173244,0.0006017625040539,333,2000,year_block
overall,random_forest_leaf_2_metadata_only_vs_train_mean,mae_t_ha,0.0004605416607978,0.0002134837700848,0.0007323037806807,333,2000,year_block
overall,random_forest_leaf_2_weather_only_vs_zero,rmse_t_ha,-0.0074189752585873,-0.0221088868509251,0.0061278297452372,333,2000,year_block
overall,random_forest_leaf_2_weather_only_vs_zero,mae_t_ha,-0.0188333340853998,-0.034149935402214,-0.0033386690223736,333,2000,year_block
overall,random_forest_leaf_2_weather_only_vs_train_mean,rmse_t_ha,-0.0074189752585908,-0.0221088868509264,0.0061278297452312,333,2000,year_block
overall,random_forest_leaf_2_weather_only_vs_train_mean,mae_t_ha,-0.0188333340854045,-0.0341499354022184,-0.0033386690223771,333,2000,year_block
overall,ridge_alpha_1_full_vs_zero,rmse_t_ha,0.0109711092598508,-0.0109237783250589,0.0301665156565311,333,2000,year_block
overall,ridge_alpha_1_full_vs_zero,mae_t_ha,0.0209593614438665,-0.0032793571515242,0.0434326713342331,333,2000,year_block
overall,ridge_alpha_1_full_vs_train_mean,rmse_t_ha,0.0109711092598474,-0.0109237783250586,0.030166515656526,333,2000,year_block
overall,ridge_alpha_1_full_vs_train_mean,mae_t_ha,0.0209593614438618,-0.0032793571515265,0.0434326713342273,333,2000,year_block
overall,ridge_alpha_1_metadata_only_vs_zero,rmse_t_ha,-8.881784197001252e-16,-4.884981308350689e-15,2.664535259100376e-15,333,2000,year_block
overall,ridge_alpha_1_metadata_only_vs_zero,mae_t_ha,2.664535259100376e-15,-1.3322676295501878e-15,6.772360450213455e-15,333,2000,year_block
